actor/loss,critic/loss,critic/q,test/action/max,test/action/mean,test/action/min,test/action/size,test/action/std,test/episode_length/max,test/episode_length/mean,test/episode_length/min,test/episode_length/size,test/episode_length/std,test/episode_score/max,test/episode_score/mean,test/episode_score/min,test/episode_score/size,test/episode_score/std,train/action/max,train/action/mean,train/action/min,train/action/size,train/action/std,train/episode_length/max,train/episode_length/mean,train/episode_length/min,train/episode_length/size,train/episode_length/std,train/episode_score/max,train/episode_score/mean,train/episode_score/min,train/episode_score/size,train/episode_score/std,train/episodes,train/epoch_seconds,train/epoch_steps,train/epochs,train/seconds,train/steps,train/steps_per_second,train/worker_steps
39.99053,1.494023,-40.360317,1.0,-0.07287543,-1.0,250,0.7112179,50,50.0,50,5,0.0,-1.1868153,-122.44991,-236.57841,5,74.5145,1.0,-0.07925455,-1.0,1000,0.8623872,50,50.0,50,400,0.0,-0.27200102945789695,-144.28684633981555,-376.33621168136597,400,77.31919824105451,8400.0,74.0857584476471,20000.0,21.0,1476.9196982383728,420000.0,269.95741717530035,21000.0
40.87987,1.5700924,-41.245003,1.0,-0.041571107,-1.0,250,0.6272502,50,50.0,50,5,0.0,-0.35903594,-95.31065,-127.79178,5,47.709198,1.0,-0.02581158,-1.0,1000,0.8220124,50,50.0,50,400,0.0,-0.12672347616171464,-144.0811671859612,-336.685559630394,400,76.91317001403054,8800.0,75.6404721736908,20000.0,22.0,1552.6383242607117,440000.0,264.408714346397,22000.0
40.7571,1.5242215,-41.108795,1.0,-0.16601959,-1.0,250,0.63362765,50,50.0,50,5,0.0,-0.6081879,-90.15306,-214.29688,5,81.190544,1.0,-0.028978257,-1.0,1000,0.76839924,50,50.0,50,400,0.0,-0.1638758999761194,-142.97038989662641,-390.96198534965515,400,79.79213672815608,9200.0,73.37794876098633,20000.0,23.0,1626.0934369564056,460000.0,272.56144846929305,23000.0
40.954487,1.5471692,-41.30888,1.0,0.041167453,-1.0,250,0.6948232,50,50.0,50,5,0.0,-2.4271388,-120.42871,-240.27812,5,75.22847,1.0,-0.03107155,-1.0,1000,0.78836864,50,50.0,50,400,0.0,-0.17600017104996368,-140.38138589537718,-339.3607611656189,400,76.80396507765373,9600.0,76.24587678909302,20000.0,24.0,1702.4171748161316,480000.0,262.3092663138081,24000.0
40.605675,1.6232301,-40.94939,1.0,0.06426398,-1.0,250,0.8117953,50,50.0,50,5,0.0,-116.31422,-162.72153,-232.82991,5,52.36469,1.0,0.008890395,-1.0,1000,0.7746125,50,50.0,50,400,0.0,-0.27601126866647974,-150.82277994279335,-376.4904046058655,400,73.54156948405159,10000.0,75.9884192943573,20000.0,25.0,1778.4836928844452,500000.0,263.1980002442971,25000.0
40.87852,1.6167319,-41.210926,1.0,-0.13483764,-1.0,250,0.8355415,50,50.0,50,5,0.0,-115.92784,-177.5596,-291.00653,5,70.92453,1.0,-0.015681041,-1.0,1000,0.8054931,50,50.0,50,400,0.0,-0.2116679108585231,-137.18363598118088,-329.6702529191971,400,74.80372564499464,10400.0,71.72632384300232,20000.0,26.0,1850.2867369651794,520000.0,278.83765580649117,26000.0
39.19941,1.568732,-39.55907,1.0,0.21279174,-1.0,250,0.8295842,50,50.0,50,5,0.0,-118.029396,-209.69644,-235.77864,5,45.869034,1.0,-0.07638201,-1.0,1000,0.78747004,50,50.0,50,400,0.0,-0.38122947490774095,-140.78554419977178,-342.2819620370865,400,78.81308107095751,10800.0,72.14233207702637,20000.0,27.0,1922.5046155452728,540000.0,277.22974048920406,27000.0
38.737514,1.5537642,-39.074165,1.0,-0.072838366,-1.0,250,0.88320416,50,50.0,50,5,0.0,-0.8463299,-117.749756,-216.94095,5,68.78452,1.0,-0.06223647,-1.0,1000,0.7836154,50,50.0,50,400,0.0,-0.37009926000609994,-140.3323189724432,-346.33818459510803,400,77.09540613040855,11200.0,75.27884149551392,20000.0,28.0,1997.8686308860779,560000.0,265.6789026328448,28000.0
38.729416,1.5795214,-39.0567,1.0,-0.28025603,-1.0,250,0.7060935,50,50.0,50,5,0.0,-0.86750555,-159.4609,-234.7428,5,89.77321,1.0,0.015092157,-1.0,1000,0.79798555,50,50.0,50,400,0.0,-0.21642611763672903,-140.92381747550206,-329.1357134282589,400,77.91357367008739,11600.0,76.33099508285522,20000.0,29.0,2074.2843329906464,580000.0,262.0167597486518,29000.0
37.64576,1.5503918,-37.98324,1.0,-0.010175652,-1.0,250,0.67387825,50,50.0,50,5,0.0,-1.6244488,-92.34407,-226.04466,5,84.12573,1.0,0.0018003731,-1.0,1000,0.7885728,50,50.0,50,400,0.0,-0.25072551422272227,-143.6514213843533,-360.22962856292725,400,75.6010315664519,12000.0,76.58154582977295,20000.0,30.0,2150.9415605068207,600000.0,261.1595232676083,30000.0
37.472073,1.5592713,-37.780678,1.0,0.091200575,-1.0,250,0.74131966,50,50.0,50,5,0.0,-1.0526701,-116.380936,-222.60396,5,70.21746,1.0,0.017066175,-1.0,1000,0.83853394,50,50.0,50,400,0.0,-0.2857534747963655,-143.61226406539902,-372.2617633342743,400,79.08037474383242,12400.0,75.38840103149414,20000.0,31.0,2226.4017078876495,620000.0,265.2928000375659,31000.0
38.60275,1.6223981,-38.890438,1.0,-0.03668603,-1.0,250,0.9217256,50,50.0,50,5,0.0,-115.60853,-188.30228,-247.49548,5,55.52784,1.0,0.014276173,-1.0,1000,0.798533,50,50.0,50,400,0.0,-0.3620446522254497,-142.07419169424327,-368.64603304862976,400,79.37163822786611,12800.0,75.87988352775574,20000.0,32.0,2302.360366821289,640000.0,263.5744688865303,32000.0
38.926323,1.464401,-39.221523,1.0,0.051261384,-1.0,250,0.86211574,50,50.0,50,5,0.0,-1.0464069,-87.50515,-204.43196,5,77.702095,1.0,-0.09626091,-1.0,1000,0.84137565,50,50.0,50,400,0.0,-0.46419290779158473,-144.04775774838382,-359.27381110191345,400,74.0131560890026,13200.0,76.00811123847961,20000.0,33.0,2378.447321176529,660000.0,263.1298117282365,33000.0
38.243015,1.5551214,-38.54304,1.0,-0.17288342,-1.0,250,0.9349674,50,50.0,50,5,0.0,-116.42379,-139.63081,-217.89114,5,39.18228,1.0,-0.052961804,-1.0,1000,0.86184734,50,50.0,50,400,0.0,-0.5863787571433932,-141.9777154379939,-331.4807549715042,400,74.70709198552068,13600.0,74.30291152000427,20000.0,34.0,2452.8268032073975,680000.0,269.1684564018125,34000.0
39.028877,1.6366593,-39.307713,1.0,-0.005222374,-1.0,250,0.98100454,50,50.0,50,5,0.0,-0.49527735,-140.37982,-236.06844,5,85.72637,1.0,-0.10547336,-1.0,1000,0.9316754,50,50.0,50,400,0.0,-0.3584552198299207,-141.11550082147122,-368.3818690776825,400,79.01262268725515,14000.0,74.6474859714508,20000.0,35.0,2527.5548408031464,700000.0,267.9259688350264,35000.0
40.030563,1.5863886,-40.304607,1.0,0.16205853,-1.0,250,0.9572717,50,50.0,50,5,0.0,-114.811966,-159.46353,-225.2459,5,51.432266,1.0,-0.09933968,-1.0,1000,0.9344421,50,50.0,50,400,0.0,-0.4230916171800345,-143.1018126942886,-355.82725036144257,400,75.38124917151428,14400.0,71.50446248054504,20000.0,36.0,2599.1354751586914,720000.0,279.70282281950733,36000.0
40.425304,1.625592,-40.68867,1.0,-0.053133074,-1.0,250,0.97371155,50,50.0,50,5,0.0,-1.65106,-139.4867,-242.9248,5,85.56313,1.0,-0.05968369,-1.0,1000,0.9400704,50,50.0,50,400,0.0,-0.43463146733120084,-145.52944946698867,-334.8269519209862,400,76.99895468128805,14800.0,76.66375279426575,20000.0,37.0,2675.870698928833,740000.0,260.8794804719754,37000.0
40.773293,1.5493298,-41.043453,1.0,0.060366523,-1.0,250,0.97723347,50,50.0,50,5,0.0,-119.48576,-175.68106,-282.27274,5,66.40484,1.0,-0.050848324,-1.0,1000,0.93894494,50,50.0,50,400,0.0,-0.38893322573858313,-138.31250591461537,-338.6171758174896,400,73.98197338761089,15200.0,75.34605669975281,20000.0,38.0,2751.293982744217,760000.0,265.44189405556,38000.0
40.775173,1.6234738,-41.022026,1.0,-0.124521255,-1.0,250,0.975589,50,50.0,50,5,0.0,-118.15187,-163.86507,-228.7072,5,52.498974,1.0,-0.06322875,-1.0,1000,0.9417415,50,50.0,50,400,0.0,-0.5901933514978737,-141.46615852810064,-341.1658967733383,400,74.98813316422286,15600.0,84.6475088596344,20000.0,39.0,2836.0145156383514,780000.0,236.27393492659934,39000.0
40.926395,1.5352901,-41.180912,1.0,-0.038380776,-1.0,250,0.9775067,50,50.0,50,5,0.0,-0.79697925,-158.33699,-231.52376,5,89.120575,1.0,-0.023056785,-1.0,1000,0.94474685,50,50.0,50,400,0.0,-0.3307371592090931,-136.48536832100834,-340.25337541103363,400,76.91069232782549,16000.0,75.73851299285889,20000.0,40.0,2911.8412520885468,800000.0,264.0664466423539,40000.0
41.009857,1.6681724,-41.257313,1.0,-0.046775345,-1.0,250,0.9753857,50,50.0,50,5,0.0,-114.27908,-119.48151,-126.79141,5,4.567838,1.0,-0.04664968,-1.0,1000,0.94360757,50,50.0,50,400,0.0,-0.36392880300991237,-150.06287612079507,-381.1444160938263,400,81.52554743464027,16400.0,77.3786141872406,20000.0,41.0,2989.2973103523254,820000.0,258.46934854123964,41000.0
